stopword,before_count,after_count
있습니다,23607,0
있는,20110,0
합니다,18653,0
생각합니다,10687,0
저는,7817,0
이런,7201,0
없는,6887,0
너무,6811,0
그리고,6343,0
없습니다,6336,0
바랍니다,5568,0
정말,5551,0
많이,5316,0
입니다,4982,0
하지만,4914,0
대한민국,4685,0
제가,4649,0
우리,4392,0
주세요,4364,0
청원합니다,3959,0
부탁드립니다,3888,0
해주세요,3861,0
됩니다,3218,0
그런,3174,0
제발,2921,0
대통령님,2413,0
청원,2294,0
저희,2144,0
국민,2118,0
반드시,1948,0
그래서,1804,0
나라,1155,0
요청합니다,1069,0
정부,1067,0
주시기,976,0
간곡히,932,0
되어야,759,0
요청,562,0
해주십시오,540,0
청원드립니다,460,0
부탁,389,0
해주시기,176,0
부탁드리겠습니다,165,0
